Name,Link,Price
PNY VERTO GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card VCG3070T8TFBPB1,https://www.newegg.ca/pny-geforce-rtx-3070-ti-vcg3070t8tfbpb1/p/N82E16814133845,839.99
MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Ventus 3X 8G OC,https://www.newegg.ca/p/1FT-0009-006C2,"1,075.99"
ASUS Noctua OC Edition GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX3070-O8G-NOCTUA (LHR),https://www.newegg.ca/asus-geforce-rtx-3070-rtx3070-o8g-noctua/p/N82E16814126545,"1,451.78"
ASUS GAMING GeForce RTX™ 3070 OC 8GB GDDR6 RTX3070-O8G-GAMING,https://www.newegg.ca/asus-rtx3060-o12g-gaming/p/1FT-000Y-00636,"2,189.99"
GIGABYTE Gaming GV-N307TGAMING OC-8GD GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card,https://www.newegg.ca/gigabyte-geforce-rtx-3070-ti-gv-n307tgaming-oc-8gd/p/1FT-000A-005F0,"1,373.00"
ASUS ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING,https://www.newegg.ca/p/1FT-000Y-00610,"1,175.99"
Refurbished MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 Ventus 2X 8G OC LHR,https://www.newegg.ca/p/1FT-0009-009W1,749.99
Refurbished MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 Ventus 2X 8G OC LHR,https://www.newegg.ca/p/1FT-0009-008N9,610.00
ASUS ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING,https://www.newegg.ca/asus-geforce-rtx-3070-ti-rog-strix-rtx3070ti-o8g-gaming/p/N82E16814126511,"1,290.00"
Refurbished MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card 3070 GAMING Z TRIO 8G LHR,https://www.newegg.ca/p/1FT-0009-009E0,749.99
Refurbished MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card 3070 GAMING Z TRIO 8G LHR,https://www.newegg.ca/p/1FT-0009-00AT2,803.99
"Refurbished MSI Gaming GeForce RTX 3070 8GB GDRR6 Graphics Card, Black",https://www.newegg.ca/msi-nvidia-geforce-rtx-3070-ti/p/1FT-0009-008S2,"1,049.97"
Refurbished MSI 3070 GAMING Z TRIO 8G LHR Gaming GeForce RTX 3070 Video Card,https://www.newegg.ca/msi-geforce-rtx-3070-3070-gaming-z-trio-8g-lhr/p/1FT-0009-009C1,691.88
Refurbished MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 Ventus 2X 8G OC LHR,https://www.newegg.ca/p/1FT-0009-009P2,749.99
Refurbished MSI Suprim GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 Suprim X 8G LHR,https://www.newegg.ca/msi-geforce-rtx-3070-rtx-3070-suprim-x-8g-lhr/p/1FT-0009-009R2,771.86
Refurbished EVGA GeForce RTX 3070 Ti FTW3 Ultra 8GB GDDR6X 08G-P5-3797-RX Video Graphic Card GPU,https://www.newegg.ca/evga-geforce-rtx-3070-ti/p/1FT-001K-00FC1,979.00
Refurbished GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD,https://www.newegg.ca/p/1FT-000A-004D4,999.99
Refurbished GIGABYTE GV-N307TGAMING OC-8GD Gaming GeForce RTX 3070 Ti Video Card,https://www.newegg.ca/gigabyte-geforce-rtx-3070-ti-gv-n307tgaming-oc-8gd/p/1FT-000A-004D7,699.99
Refurbished GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TVISION OC-8GD,https://www.newegg.ca/p/1FT-000A-00481,912.00
Refurbished GIGABYTE GV-N307TEAGLE OC-8GD Eagle GeForce RTX 3070 Ti Video Card,https://www.newegg.ca/gigabyte-geforce-rtx-3070-ti-gv-n307teagle-oc-8gd/p/1FT-000A-00520,899.00
"Refurbished GIGABYTE AORUS GeForce RTX 3070 MASTER 8G (LHR) Video Card,8GB 256-bit GDDR6 PCI Express 4.0 x16,1845MHz Core Frequency,DisplayPort 1.4a *3,HDMI 2.1*2, HDMI 2.0*1",https://www.newegg.ca/gigabyte-geforce-rtx-3070-gv-n3070aorus-m-8gd/p/1FT-000A-004R0,770.99
Refurbished GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TGAMING OC-8GD,https://www.newegg.ca/p/1FT-000A-004V2,999.99
Refurbished GIGABYTE GV-N307TVISION OC-8GD Vision GeForce RTX 3070 Ti Video Card,https://www.newegg.ca/gigabyte-geforce-rtx-3070-ti-gv-n307tvision-oc-8gd/p/1FT-000A-004B5,999.99
